month,year,cover_url
February,2014,https://www.thrashermagazine.com//images/image/Covers Section/images/February2014sfw.jpg
January,2014,https://www.thrashermagazine.com//images/image/Covers Section/images/January2014sfw.jpg
December,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/December2013sfw.jpg
November,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/November2013sfw.jpg
October,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/October2013sfw.jpg
September,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/September2013sfw.jpg
August,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/August2013sfw.jpg
July,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/July2013sfw.jpg
June,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/June2013sfw.jpg
May,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/May2013sfw.jpg
April,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/April2013sfw.jpg
March,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/March2013sfw.jpg
February,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/February2013sfw.jpg
January,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/January2013Alvarezsfw.jpg
January,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/January2013Perezsfw.jpg
January,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/January201sfw.jpg
January,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/January2013Berlesfw.jpg
January,2013,https://www.thrashermagazine.com//images/image/Covers Section/images/January201Kennedysfw.jpg
December,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/December2012sfw.jpg
November,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/November2012sfw.jpg
October,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/October2012sfw.jpg
September,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/September2012sfw.jpg
August,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/August2012sfw.jpg
July,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/July2012sfw.jpg
June,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/June2012Musicsfw.jpg
June,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/June2012sfw.jpg
May,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/May2012.jpg
April,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/April2012sfw.jpg
March,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/March2012sfw.jpg
February,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/February2012sfw.jpg
January,2012,https://www.thrashermagazine.com//images/image/Covers Section/images/January2012sfw.jpg
December,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/December2011sfw.jpg
November,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/November2011sfw.jpg
October,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/October2011sfw.jpg
September,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/September2011sfw.jpg
August,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/August2011sfw.jpg
July,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/July2011sfw.jpg
June,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/June2011sfw.jpg
May,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/TH0511Cover.jpg
April,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/April2011sfw.jpg
March,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/March2011sfw.jpg
February,2011,https://www.thrashermagazine.com//images/image/Covers Section/images/February.jpg
