month,year,cover_url
November,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/November1992.jpg
October,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/October1992.jpg
September,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/September1992.jpg
August,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/August1992.jpg
July,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/July1992.jpg
June,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/June1992.jpg
May,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/May1992.jpg
April,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/April1992.jpg
March,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/March1992.jpg
February,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/February1992.jpg
January,1992,https://www.thrashermagazine.com//images/image/Covers Section/images/January1992.jpg
December,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/December1991.jpg
November,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/November1991.jpg
October,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/October1991.jpg
September,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/September1991.jpg
August,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/August1991.jpg
July,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/July1991.jpg
June,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/June1991.jpg
May,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/May1991.jpg
April,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/April1991.jpg
March,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/March1991.jpg
February,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/February1991.jpg
January,1991,https://www.thrashermagazine.com//images/image/Covers Section/images/January1991.jpg
December,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/December1990.jpg
November,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/November1990.jpg
October,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/October1990.jpg
September,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/September1990.jpg
August,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/August1990.jpg
July,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/July1990.jpg
June,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/June1990.jpg
May,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/May1990.jpg
April,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/April1990.jpg
March,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/March1990.jpg
February,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/February1990.jpg
January,1990,https://www.thrashermagazine.com//images/image/Covers Section/images/January1990.jpg
December,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/December1989.jpg
November,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/November1989.jpg
October,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/October1989.jpg
September,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/September1989.jpg
August,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/August1989.jpg
July,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/July1989.jpg
June,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/June1989.jpg
May,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/May1989.jpg
April,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/April1989.jpg
March,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/March1989.jpg
February,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/February1989.jpg
January,1989,https://www.thrashermagazine.com//images/image/Covers Section/images/January1989.jpg
December,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/Winter1988.jpg
December,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/December1988.jpg
November,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/November1988.jpg
October,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/October1988.jpg
September,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/September1988.jpg
August,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/August1988.jpg
July,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/July1988.jpg
June,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/June1988.jpg
May,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/May1988.jpg
April,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/April1988.jpg
March,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/March1988.jpg
February,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/February1988.jpg
January,1988,https://www.thrashermagazine.com//images/image/Covers Section/images/January1988.jpg
December,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/December1987.jpg
November,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/November1987.jpg
October,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/October1987.jpg
September,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/September1987.jpg
August,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/August1987.jpg
July,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/July1987.jpg
June,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/June1987.jpg
May,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/May1987.jpg
April,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/April1987.jpg
March,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/March1987.jpg
February,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/February1987.jpg
January,1987,https://www.thrashermagazine.com//images/image/Covers Section/images/January1987.jpg
December,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/December1986.jpg
October,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/OctoberNovember1986.jpg
September,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/September1986.jpg
August,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/August1986.jpg
July,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/July1986.jpg
June,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/June1986.jpg
May,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/May1986.jpg
April,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/April1986.jpg
March,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/March1986.jpg
February,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/February1986.jpg
January,1986,https://www.thrashermagazine.com//images/image/Covers Section/images/January1986.jpg
December,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/December1985.jpg
November,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/November1985.jpg
October,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/October1985.jpg
September,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/September1985.jpg
August,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/August1985.jpg
July,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/July1985.jpg
June,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/June1985.jpg
May,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/May1985.jpg
April,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/April1985.jpg
March,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/March1985.jpg
February,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/February1985.jpg
January,1985,https://www.thrashermagazine.com//images/image/Covers Section/images/January1985.jpg
December,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/December1984.jpg
November,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/November1984.jpg
October,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/October1984.jpg
September,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/September1984.jpg
August,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/August1984.jpg
July,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/July1984.jpg
June,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/June1984.jpg
May,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/May1984.jpg
April,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/April1984.jpg
March,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/March1984.jpg
February,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/February1984.jpg
January,1984,https://www.thrashermagazine.com//images/image/Covers Section/images/January1984.jpg
December,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/December1983.jpg
November,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/November1983.jpg
October,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/October1983.jpg
September,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/September1983.jpg
August,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/August1983.jpg
July,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/July1983.jpg
June,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/June1983.jpg
May,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/May1983.jpg
April,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/April1983.jpg
March,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/March1983.jpg
February,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/February1983.jpg
January,1983,https://www.thrashermagazine.com//images/image/Covers Section/images/January1983.jpg
December,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/December1982.jpg
November,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/November1982.jpg
October,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/October1982.jpg
September,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/September1982.jpg
August,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/August1982.jpg
July,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/July1982.jpg
May,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/MayJune1982.jpg
April,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/April1982.jpg
March,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/March1982.jpg
February,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/February1982.jpg
January,1982,https://www.thrashermagazine.com//images/image/Covers Section/images/January1982.jpg
December,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/December1981.jpg
November,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/November1981.jpg
October,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/October1981.jpg
September,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/September1981.jpg
August,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/August1981.jpg
July,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/July1981.jpg
June,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/June1981.jpg
May,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/May1981.jpg
April,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/April1981.jpg
March,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/March1981.jpg
February,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/February1981.jpg
January,1981,https://www.thrashermagazine.com//images/image/Covers Section/images/January1981.jpg
